episode,op_actual,category_id,generation_source,params_mutated,params_crossed,n_params_differ,ego_speed,ego_on_intersection,intersection_has_cars,distractor_cars,has_brake_checker,has_cluster,maximum_distractor_speed,distance_to_nearest,cluster_dist,brake_dist,intersection_cars,num_steps,reward_sum,pvl,failure,termination_reason
56,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,2.6425023078918457,0.009381987996166572,,max_step
57,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,77,0.2948659658432007,0.031520028780033064,,out_of_road
58,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,265,10.09990406036377,0.3494855730671365,,out_of_road
59,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,43.00249099731445,0.4467124910373241,,max_step
60,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,66,0.16919291019439697,6.189942359924316e-05,,out_of_road
61,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,89,0.6722089052200317,0.0213966139335855,,out_of_road
62,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,152,-2.810429573059082,0.0,,out_of_road
63,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,42,-1.824861764907837,0.0,,out_of_road
64,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,160,-2.568824291229248,0.0,,out_of_road
65,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,858,21.437402725219727,0.227037138266528,,arrive_dest
66,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,395,6.126535892486572,0.15047564961346266,,out_of_road
67,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,250,0.01688241958618164,0.025097253118176014,,out_of_road
68,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,488,11.549176216125488,0.1782594494040689,,out_of_road
69,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,180,-1.2293663024902344,0.029101168773033554,,out_of_road
70,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,42.43486404418945,0.35926138796005397,,max_step
71,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,105,1.2060387134552002,0.10967180932916346,,out_of_road
72,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,180,6.531125068664551,0.2652823696326878,,out_of_road
73,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,416,10.495110511779785,0.2010430612919243,,out_of_road
74,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,934,42.03031539916992,0.3974791084769196,,out_of_road
75,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,90,1.1133612394332886,0.06966266572061512,,out_of_road
76,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,128,-0.5553249716758728,0.05420928361127153,,out_of_road
77,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,27.66150665283203,0.18158473698515445,,max_step
78,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,346,10.545820236206055,0.1346013498993192,,arrive_dest
