episode,op_actual,category_id,generation_source,params_mutated,params_crossed,n_params_differ,ego_on_intersection,intersection_has_cars,distractor_cars,has_brake_checker,has_cluster,maximum_distractor_speed,distance_to_nearest,cluster_dist,brake_dist,intersection_cars,num_steps,reward_sum,pvl,failure,termination_reason
155,fresh,0,fresh,,,0,0,0,3,0,0,5.0,20.0,15.0,35.0,3,276,13.659261703491211,0.2699391805782806,,out_of_road
156,fresh,0,fresh,,,0,1,0,3,1,0,20.0,40.0,5.0,55.0,1,359,11.51209831237793,0.2110164966589893,,out_of_road
157,fresh,0,fresh,,,0,1,0,0,0,0,15.0,10.0,15.0,55.0,0,92,2.04799485206604,0.03969324671703836,,out_of_road
158,fresh,0,fresh,,,0,0,0,12,0,0,10.0,5.0,15.0,20.0,0,1000,0.2760947644710541,0.07711399780772626,,max_step
159,fresh,0,fresh,,,0,1,0,4,1,1,10.0,40.0,5.0,55.0,0,1000,2.8544702529907227,0.04275415945565328,,max_step
160,fresh,0,fresh,,,0,1,0,2,1,0,5.0,20.0,5.0,35.0,0,575,9.221701622009277,0.08134284481892119,,crash_vehicle
161,fresh,0,fresh,,,0,0,0,8,1,1,20.0,5.0,5.0,35.0,0,33,-0.025622695684432983,9.508295492692428e-06,,crash_vehicle
162,fresh,0,fresh,,,0,0,0,1,1,1,5.0,20.0,5.0,35.0,1,195,6.862141132354736,0.12925810087949802,,crash_vehicle
163,fresh,0,fresh,,,0,0,0,2,0,0,10.0,10.0,15.0,55.0,1,127,3.7522079944610596,0.14675510877112705,,arrive_dest
164,fresh,0,fresh,,,0,1,1,3,1,0,15.0,10.0,5.0,35.0,0,173,4.860168933868408,0.13574931012584984,,crash_vehicle
165,fresh,0,fresh,,,0,1,1,12,1,0,20.0,40.0,5.0,55.0,3,206,3.212468147277832,0.1340261575702614,,out_of_road
166,fresh,0,fresh,,,0,1,0,8,1,0,10.0,20.0,5.0,35.0,3,692,22.43781280517578,0.2379303747691171,,out_of_road
167,fresh,0,fresh,,,0,1,1,0,0,0,20.0,40.0,15.0,55.0,0,48,0.2482544183731079,0.03466592698047558,,out_of_road
168,fresh,0,fresh,,,0,0,0,5,0,1,5.0,20.0,10.0,10.0,1,79,1.550583004951477,0.007287981295132939,,crash_vehicle
169,fresh,0,fresh,,,0,0,0,5,1,0,5.0,10.0,10.0,20.0,2,233,2.8299057483673096,0.04466792805991715,,out_of_road
170,fresh,0,fresh,,,0,1,1,5,0,0,5.0,5.0,10.0,10.0,2,31,0.017151087522506714,0.020781982329583937,,crash_vehicle
171,fresh,0,fresh,,,0,1,0,8,1,0,5.0,20.0,5.0,35.0,0,71,1.2134935855865479,0.04416299202072788,,crash_vehicle
172,fresh,0,fresh,,,0,0,0,1,0,1,15.0,40.0,10.0,35.0,1,216,8.45557975769043,0.23673140084698657,,out_of_road
173,fresh,0,fresh,,,0,1,1,3,0,1,5.0,20.0,10.0,10.0,3,43,0.042439043521881104,0.01842351015224013,,out_of_road
174,fresh,0,fresh,,,0,1,1,0,0,0,20.0,20.0,5.0,20.0,0,34,-0.07930111885070801,0.0,,out_of_road
175,fresh,0,fresh,,,0,0,0,8,0,0,20.0,5.0,15.0,35.0,2,90,-0.014370113611221313,0.011214431126912434,,crash_vehicle
176,fresh,0,fresh,,,0,1,0,5,0,0,5.0,10.0,5.0,20.0,3,143,2.7332284450531006,0.04931299157206204,,out_of_road
177,fresh,0,fresh,,,0,1,0,1,1,1,10.0,20.0,10.0,35.0,1,1000,4.231158256530762,0.01281547372508794,,max_step
178,fresh,0,fresh,,,0,1,0,12,1,1,20.0,40.0,10.0,55.0,0,105,2.904515266418457,0.03490137303957627,,crash_vehicle
179,fresh,0,fresh,,,0,0,0,2,0,1,10.0,5.0,10.0,10.0,2,281,9.684379577636719,0.2105796522364763,,crash_vehicle
180,fresh,0,fresh,,,0,0,0,4,0,0,5.0,20.0,10.0,20.0,0,43,0.12055015563964844,0.02894679179718328,,out_of_road
181,fresh,0,fresh,,,0,0,0,8,0,0,10.0,20.0,10.0,20.0,1,60,0.9233587980270386,0.01939324935277303,,crash_vehicle
182,fresh,0,fresh,,,0,0,0,12,0,0,20.0,20.0,15.0,35.0,1,612,24.106164932250977,0.2960051428009238,,out_of_road
183,fresh,0,fresh,,,0,0,0,0,0,0,10.0,5.0,10.0,35.0,0,106,2.2205283641815186,0.018297271688802623,,out_of_road
184,fresh,0,fresh,,,0,1,0,1,1,1,15.0,40.0,10.0,55.0,1,121,3.342808961868286,0.053347586784973616,,out_of_road
